id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
GCKR,4,0.34868,0.55914,1.0,10576,2,0.74201,0.74227,0.989886,15054,0
OR4D2,4,0.34901,0.55939,1.0,10577,2,0.88446,0.88474,0.999069,17803,0
TPM4,4,0.34901,0.55939,1.0,10578,2,0.004148,0.01132,0.955877,228,1
controlguide911,1,0.3494,0.34966,1.0,10579,1,0.6506,0.65067,0.985939,13247,0
OR52E2,4,0.34942,0.55968,1.0,10580,2,0.81841,0.8188,0.994743,16544,0
MLXIP,4,0.3496,0.55982,1.0,10581,2,0.055219,0.095731,0.985705,1871,1
RORC,4,0.34986,0.56,1.0,10582,2,0.55317,0.55291,0.985705,11267,0
UVRAG,4,0.34986,0.56,1.0,10583,2,0.2193,0.22853,0.985705,4587,1
ETS2,4,0.34986,0.56,1.0,10584,2,0.62999,0.62983,0.985939,12839,0
ACOX2,4,0.34989,0.56002,1.0,10585,1,0.022978,0.043132,0.981503,868,2
TMEM247,4,0.34989,0.56002,1.0,10586,1,0.71952,0.7197,0.988213,14646,0
DALRD3,4,0.34989,0.56002,1.0,10587,1,0.17977,0.19515,0.985705,3926,1
SOX30,4,0.34989,0.56002,1.0,10588,2,0.35528,0.3548,0.985705,7176,1
GYLTL1B,4,0.34989,0.56002,1.0,10589,2,0.62288,0.62271,0.985705,12704,0
NCR3LG1,4,0.34989,0.56002,1.0,10590,2,0.44934,0.44916,0.985705,9088,0
RBL1,4,0.34989,0.56002,1.0,10591,1,0.23543,0.24264,0.985705,4879,1
RAG1,4,0.34989,0.56002,1.0,10592,1,0.71873,0.7189,0.987982,14633,0
IL22RA1,4,0.34989,0.56002,1.0,10593,1,0.65557,0.65545,0.985939,13357,0
C2orf50,4,0.34989,0.56002,1.0,10594,2,0.53062,0.53042,0.985705,10789,0
PDE4C,4,0.34989,0.56002,1.0,10595,1,0.43796,0.43765,0.985705,8857,0
NDFIP1,4,0.34989,0.56002,1.0,10596,1,0.21187,0.22222,0.985705,4469,1
C12orf65,4,0.34989,0.56002,1.0,10597,1,0.63928,0.63918,0.985939,13015,0
RLN2,4,0.34989,0.56002,1.0,10598,1,0.6559,0.6558,0.985939,13367,0
ATP6V1B2,4,0.34989,0.56002,1.0,10599,1,0.83925,0.83959,0.995896,16949,0
GIMAP8,4,0.34989,0.56002,1.0,10600,2,0.10389,0.13437,0.985705,2666,1
MDC1,4,0.34989,0.56002,1.0,10601,2,0.48953,0.48937,0.985705,9943,0
IFI27L2,4,0.34989,0.56002,1.0,10602,2,0.22902,0.23696,0.985705,4766,1
